"Transportation type","Area from","Area to","Vehicle Type","Departure time",km,Duration,Note,Enabled,"Vehicle rack price","Vehicle net price","Adult rack price","Adult net price","Kid rack price","Kid net price",Tax,Addons,Extras,"Regular time range enabled","Range start Regular time range","Range end Regular time range","Rack price Regular time range","Net price Regular time range","Tax Regular time range","Flight pick-up time range enabled","Range start Flight pick-up time range","Range end Flight pick-up time range","Rack price Flight pick-up time range","Net price Flight pick-up time range","Tax Flight pick-up time range","Flight drop-off time range enabled","Range start Flight drop-off time range","Range end Flight drop-off time range","Rack price Flight drop-off time range","Net price Flight drop-off time range","Tax Flight drop-off time range"
"Private shuttles","Costa Rica Marriottt (belen)","Heliconias Nature Lodge","Toyota HIACE",,100,2.5,,1,205,155,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Heliconias Nature Lodge","Mercedes Sprinter",,100,2.5,,1,265,190,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Heredia,"Toyota Coaster",,11,30m,,1,200,100,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Heredia,"Hyundai H-1",,11,30m,,1,55,40,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Heredia,"Toyota HIACE",,11,30m,,1,100,65,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Heredia,"Mercedes Sprinter",,11,30m,,1,145,70,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Jaco,"Toyota Coaster",,87,1.5,,1,300,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Jaco,"Hyundai H-1",,87,1.5,,1,125,100,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Jaco,"Toyota HIACE",,87,1.5,,1,170,125,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Jaco,"Mercedes Sprinter",,87,1.5,,1,225,150,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","JW Marriott","Toyota Coaster",,247,4.5,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","JW Marriott","Hyundai H-1",,247,4.5,,1,260,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","JW Marriott","Toyota HIACE",,247,4.5,,1,305,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","JW Marriott","Mercedes Sprinter",,247,4.5,,1,385,310,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","La Fortuna","Toyota Coaster",,118,3,,1,360,260,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","La Fortuna","Hyundai H-1",,118,3,,1,160,130,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","La Fortuna","Toyota HIACE",,118,3,,1,205,155,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","La Fortuna","Mercedes Sprinter",,118,3,,1,275,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Las Catalinas, Guanacaste","Toyota Coaster",,248,4.5,,1,480,380,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Las Catalinas, Guanacaste","Hyundai H-1",,248,4.5,,1,260,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Las Catalinas, Guanacaste","Toyota HIACE",,248,4.5,,1,305,235,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Las Catalinas, Guanacaste","Mercedes Sprinter",,248,4.5,,1,385,310,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Liberia,"Toyota Coaster",,199,3.5,,1,450,350,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Liberia,"Hyundai H-1",,199,3.5,,1,225,190,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Liberia,"Toyota HIACE",,199,3.5,,1,270,215,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Liberia,"Mercedes Sprinter",,199,3.5,,1,355,280,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Liberia Airport","Toyota Coaster",,210,3.5,,1,450,350,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Liberia Airport","Hyundai H-1",,210,3.5,,1,225,190,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Liberia Airport","Toyota HIACE",,210,3.5,,1,270,215,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Liberia Airport","Mercedes Sprinter",,210,3.5,,1,355,280,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Limon,"Toyota Coaster",,173,3.5,,1,400,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Limon,"Hyundai H-1",,173,3.5,,1,210,180,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Limon,"Toyota HIACE",,173,3.5,,1,255,205,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)",Limon,"Mercedes Sprinter",,173,3.5,,1,325,250,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Los Suenos Marriott","Toyota Coaster",,85,1.5,,1,300,200,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Los Suenos Marriott","Hyundai H-1",,85,1.5,,1,125,100,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Los Suenos Marriott","Toyota HIACE",,85,1.5,,1,170,125,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Los Suenos Marriott","Mercedes Sprinter",,85,1.5,,1,225,150,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Mal-Pais / Santa Teresa","Toyota Coaster",,308,5.5,,1,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Mal-Pais / Santa Teresa","Hyundai H-1",,308,5.5,,1,230,185,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Mal-Pais / Santa Teresa","Toyota HIACE",,308,5.5,,1,275,210,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Mal-Pais / Santa Teresa","Mercedes Sprinter",,308,5.5,,1,,,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Manuel Antonio | Quepos","Toyota Coaster",,156,3,,1,400,300,,,,,0.08,,,,,,,,,,,,,,,,,,,,
"Private shuttles","Costa Rica Marriottt (belen)","Manuel Antonio | Quepos","Hyundai H-1",,156,3,,1,175,145,,,,,0.08,,,,,,,,,,,,,,,,,,,,
